user_id,name,time,rating,text,pics,resp,gmap_id,state
115867279769834585473,Prateeta D K,1517817179266,5,,,,0x808e403b51ac7a8d:0x386ba36faecc99a0,California
115828114505657341363,Joseluis Morales,1561682723014,5,Really convenient for me.,,,0x80c2972ec9dafea1:0x6f45f45de9f022ba,California
100695802865640527447,Owen Finnegan,1569636373841,4,They cut my hair,,"{'time': 1569878295323, 'text': ""Yes we did Owen, and we're SUPER into that!\nWe appreciate your loyalty to our team in Santa Monica.\nHope to see you soon!\nShirley C   Director of Guest Relations  (900) 931-0070""}",0x80c2bb2ba2da19a5:0xc34d40ff5e9c4fe0,California
102618011676902453851,Victor Porter,1607536180071,5,,,,0x88de5f1d4a965529:0x7185259d46251847,Florida
109423313988221227150,John Kim,1555274938574,5,,,,0x80dd2d11f964adcb:0xb8ae591c7be4559a,California
102459143564940375807,Kay Marshman,1506631092976,5,Great experience & salesman. Pressure free! That goes a long way. Thank you Daniel.,,,0x88c2ee2c799de28d:0x4573567be6ec8ace,Florida
109587143112017067766,Team Jiggawatt,1627568414434,5,Fantastic great people friendly staff just a all around place to visit and the food is phenomenal 5 stars all the way!,,,0x80db278671582fd3:0x95262a171daa0b6f,California
103725190024090989675,linda nelson,1606189457881,5,,,,0x80857e13d11b6a03:0x7317d025a770c556,California
104648657129295129827,F P D,1547144818843,5,One of the best places to eat in the Keys.,,,0x88d7313edb441bb1:0x3929991ed182b077,Florida
113454184326925166067,Sandra Mix,1507168799907,5,Great Location! Very nice People!,,,0x88db6ab1b6881ea5:0x517f6cc5b0171513,Florida
115998640507469733422,Ernie Palomino,1561244669247,5,This place is full of great people that treat you like family and get the job done .,,,0x80952f489147fe9f:0xf1d8481d44dc377b,California
106621957451279691890,frank caner,1581829537084,5,,,,0x80d94e7b7018af41:0x457f54a8fa1a96ab,California
116664905665323465156,Faye Tucker,1547683793085,5,Great friendly service. Bruce was extremely helpful in the tile flooring department.,,,0x88dd474f115a8bb1:0x9fcce1f2347b78c2,Florida
115852829867073275529,Krystal Mcmaster,1569040754282,5,,,,0x54d06636ce017cef:0x5da27c85e95a012e,California
114840127297354376605,Tony Taylor,1566531667725,5,"A really cool environment, if you visit Vegas this is a must do. The area was clean and a great learning experience. If you have a weak stomach dont stress.",,,0x80c8c439f5d6260d:0x3b97c4cb2a8bf16a,Nevada
106671034594022287611,David Nates,1539200041353,5,Who doesn't love this place??,,,0x80dcdcd5c67a0633:0x378ada9e9c4aadbd,California
105645834783102031580,rene tellez,1563666229654,4,"(Translated by Google) Nice place

(Original)
Bonito lugar",,,0x88dae1e8262a702b:0x799b10bdd49aac29,Florida
110178760489961873417,hyuk kang,1425438024683,4,"Two words, ""cheap"" and ""delicious"" cross my mind. I know those words normally don't go together but this is an exception. With high recommendation from my friend, I decide to go for an exploration for new eateries. With decent size meal and refreshing green tea cost me less than $6. You can't really go wrong with that.",,,0x80dd2d0ef2d5ef25:0x418daa92453f0505,California
114951659339250632965,Frank Alepe,1573113129133,5,,,,0x80e84ef1653f21a3:0x371a9881e87f4e36,California
