,name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,status,relative_results,url,state
0,Vein and Vascular Institute Of Tampa Bay - Lutz Office,"Vein and Vascular Institute Of Tampa Bay - Lutz Office, 19185 N Dale Mabry Hwy, Lutz, FL 33548",0x88c2bec93c46882d:0xbc25723382e646f7,,28.155387,-82.485277,"['Vascular surgeon', 'Doctor']",4.9,218,,"[['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', '8AM–12PM'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM']]","{'Health & safety': ['Appointment required', 'Mask required', 'Temperature check required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Appointments recommended']}",Closed ⋅ Opens 8AM Fri,"['0x88c2c36e8706b955:0x79056dda4b4a87f', '0x88c2c37c51c70a09:0xfc9513ad810769cf', '0x88c2c099f93076ff:0x53d7e673af27ec9a', '0x88c2ce36c87eb77b:0xf63c9b4e05f52b0a', '0x88c2c3ed10ab79e7:0x27ce2bd64757eae6']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2bec93c46882d:0xbc25723382e646f7?authuser=-1&hl=en&gl=us,Florida
1,Lint Out Dryer Vent & Air Duct Cleaning,"Lint Out Dryer Vent & Air Duct Cleaning, 12331 Towne Lake Dr Suite 6, Fort Myers, FL 33913",0x88db6bbeece24691:0xbd5282ff3b5a92bd,,26.564399,-81.751483,['Air duct cleaning service'],5.0,618,,"[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–4PM'], ['Tuesday', '8AM–4PM'], ['Wednesday', '8AM–4PM'], ['Thursday', '8AM–4PM'], ['Friday', '8AM–4PM']]",,Closed ⋅ Opens 8AM Mon,"['0x88db3f0425ebd80d:0x3a57ceacfd8c848a', '0x88db156204d1e5d9:0x663fd897ad68259', '0x88db1eeca560ad51:0xa7dc76d6555dbfe3', '0x88db40a166cd625d:0xefd04ba3ae34adf5', '0x88db1586e9388305:0x1dd9231f42ced458']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db6bbeece24691:0xbd5282ff3b5a92bd?authuser=-1&hl=en&gl=us,Florida
2,Centennial Farm,"Centennial Farm, 88 Fair Dr, Costa Mesa, CA 92626, United States",0x80dcdf73237f82b9:0x6db01e29b097110,,33.6660504,-117.9025338,['Farm'],4.5,628,,"[['Sunday', 'Closed'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]",{'Accessibility': ['Wheelchair-accessible entrance']},Temporarily closed,"['0x80dcdd4a5c20452f:0xa82ea53a6b2be7af', '0x80dcdd941b0cea3f:0x8dafdc1b39a55060', '0x80dccb6756c0b6dd:0xa90d1373986de263', '0x80dcd64ccd863e25:0x302b11a0babe25fd', '0x80dcdac7b4738c5f:0x27cd027d7c1d1c29']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcdf73237f82b9:0x6db01e29b097110?authuser=-1&hl=en&gl=ae,California
3,Gathering for Women,"Gathering for Women, 147 El Dorado St, Monterey, CA 93940",0x808de425f90137bf:0x73ec6cd83fce7705,,36.5929518,-121.8946938,['Corporate office'],4.6,26,,"[['Sunday', 'Closed'], ['Monday', '8AM–4PM'], ['Tuesday', '8AM–4PM'], ['Wednesday', '8AM–4PM'], ['Thursday', '8AM–4PM'], ['Friday', '8AM–4PM'], ['Saturday', 'Closed']]",{'Accessibility': ['Wheelchair accessible entrance']},Closed ⋅ Opens 8AM Mon,"['0x808de507fc43c81b:0x30aeccca23ffe9a2', '0x808de423b62021eb:0x8f5ae32c3d2af76', '0x808de43b2e35ef11:0x8e9635fd64909894', '0x808dfc857279814b:0xb2edf584d53ae38e', '0x808de5bca09a28c3:0xd051b47bc0347e81']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x808de425f90137bf:0x73ec6cd83fce7705?authuser=-1&hl=en&gl=us,California
4,El Pollo Loco,"El Pollo Loco, 758 W Highland Ave, San Bernardino, CA 92405, United States",0x80c353a7a8034017:0x4c85887eb0bafab0,Fast-food chain outpost known for Mexican classics made with fire-grilled chicken.,34.13619,-117.29999,"['Mexican restaurant', 'Caterer', 'Chicken restaurant', 'Fast food restaurant']",4.1,695,$,"[['Monday', '10AM–10PM'], ['Tuesday', '10AM–10PM'], ['Wednesday', '10AM–10PM'], ['Thursday', '10AM–10PM'], ['Friday', '10AM–10PM'], ['Saturday', '10AM–10PM'], ['Sunday', '10AM–10PM']]","{'Service options': ['Curbside pickup', 'No-contact delivery', 'Takeaway', 'Dine-in', 'Delivery'], 'Health and safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Fast service'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Wheelchair-accessible toilet'], 'Offerings': ['Comfort food', 'Healthy options', ""Kids' menu"", 'Late-night food', 'Quick bite', 'Small plates', 'Vegetarian options'], 'Dining options': ['Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'], 'Amenities': ['Good for kids', 'High chairs', 'Toilets'], 'Atmosphere': ['Casual', 'Cosy'], 'Crowd': ['Family friendly', 'Groups', 'Tourists', 'University students'], 'Payments': ['Debit cards', 'NFC mobile payments']}",Closed ⋅ Opens 10AM,"['0x80c353a913c8314f:0x2784743c7475c974', '0x80c353a0a21e840f:0xfb0a1937f758e527', '0x80c353a8ff8c92c7:0x621d1d14a4bfd93a', '0x80c3548e17d67cfd:0xed6cc3deed0ce2e9', '0x80c353ee072f06a1:0x222263c8a877ea5']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c353a7a8034017:0x4c85887eb0bafab0?authuser=-1&hl=en&gl=ae,California
5,C & I Clothing,"C & I Clothing, 1731 Sunset Blvd, Los Angeles, CA 90026",0x80c2c71b8f891cd9:0xb3f24028547eb016,,34.077746399999995,-118.2591795,['Clothing store'],4.5,33,,"[['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', '12–5PM'], ['Monday', '11AM–7PM']]","{'Service options': ['In-store shopping'], 'Planning': ['Quick visit'], 'Payments': ['NFC mobile payments']}",Closed ⋅ Opens 11AM,"['0x80c2c806877faa25:0xf4f5382c41314692', '0x80c2c687b43e31d9:0x509cbec5c6abe900', '0x80c2c786627715f3:0x804f6630860c0402', '0x80c2c71c91d3a0fb:0x34647b595b25ac7d', '0x80c2c74514f9db3b:0x7593e61bf4c3fec4']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c71b8f891cd9:0xb3f24028547eb016?authuser=-1&hl=en&gl=us,California
6,Holy Smoke & Vape,"Holy Smoke & Vape, 11485 S Cleveland Ave #1, Fort Myers, FL 33907",0x88db41ec8a6cef49:0x2270da280b0185db,,26.57328,-81.871357,"['Tobacco shop', 'Glass shop', 'Hookah store', 'Vaporizer store']",4.9,73,,"[['Friday', '10AM–10PM'], ['Saturday', '10AM–10PM'], ['Sunday', '11AM–8PM'], ['Monday', '10AM–10PM'], ['Tuesday', '10AM–10PM'], ['Wednesday', '10AM–10PM'], ['Thursday', '10AM–10PM']]","{'Service options': ['In-store pickup', 'In-store shopping'], 'Health & safety': ['Staff required to disinfect surfaces between visits'], 'Highlights': ['LGBTQ friendly'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Planning': ['Quick visit'], 'Payments': ['Debit cards', 'NFC mobile payments']}",Closed ⋅ Opens 10AM Sat,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db41ec8a6cef49:0x2270da280b0185db?authuser=-1&hl=en&gl=us,Florida
7,AJ Chinese Express,"AJ Chinese Express, 11566 N Ventura Ave, Ojai, CA 93023",0x80e9a535d2331987:0x5c902b916affa054,,34.4282998,-119.2884922,"['Chinese restaurant', 'Japanese restaurant', 'Restaurant']",4.1,127,$$,"[['Wednesday', '11AM–3PM'], ['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–3PM'], ['Saturday', '11:30AM–3PM'], ['Sunday', '11:30AM–3PM'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–3PM']]","{'Service options': ['Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Fast service', 'Great tea selection'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible seating'], 'Offerings': ['Comfort food', 'Healthy options', 'Quick bite', 'Small plates', 'Vegetarian options'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual'], 'Crowd': ['Groups', 'Tourists']}",Closed ⋅ Opens 11AM,"['0x80e9ad39547f9183:0xcda682a17f96b3a1', '0x80e852acab954ae5:0x2d17fe125ddbf983', '0x80e9a585519410ed:0x853bd09d0d07a950', '0x80e84ccf0deff39d:0xbb820e1daa133273', '0x80e9a535a4baffb3:0xc8d5c93f45066ea']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80e9a535d2331987:0x5c902b916affa054?authuser=-1&hl=en&gl=us,California
8,T-Mobile,"T-Mobile, 11133 Washington Blvd, Whittier, CA 90606",0x80c2d2316ade110d:0x4983f0a7415cb0b6,,33.9733784,-118.0726755,"['Cell phone store', 'Electronic parts supplier', 'Electronics store', 'Telephone company']",2.7,48,$$,"[['Sunday', '11AM–6PM'], ['Monday', '10AM–8PM'], ['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '10AM–8PM']]","{'Service options': ['In-store shopping', 'Delivery'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['LGBTQ friendly'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Wi-Fi'], 'Planning': ['Quick visit'], 'Payments': ['Debit cards', 'NFC mobile payments', 'Credit cards']}",Closed ⋅ Opens 11AM,"['0x80c2d2677327d375:0x9680060d17bfa1d6', '0x80c2ce29ce031d01:0xdba03672a819088e', '0x80c2d2345969cc8b:0x782ee3b245fca331', '0x80c2d23455d508df:0xf4bd620a9c8ecf85']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2d2316ade110d:0x4983f0a7415cb0b6?authuser=-1&hl=en&gl=us,California
9,"Farber & Co. Attorneys, P.C.","Farber & Co. Attorneys, P.C., 333 Hegenberger Road, 504, Oakland, CA 94621",0x808f80b183b3d067:0xe57616ad09050b61,,37.735714,-122.1984786,['Law firm'],3.9,28,,"[['Thursday', '8:30AM–5PM'], ['Friday', '8:30AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–5PM'], ['Tuesday', '8:30AM–5PM'], ['Wednesday', '8:30AM–5PM']]",{'Accessibility': ['Wheelchair accessible entrance']},Closed ⋅ Opens 8:30AM,"['0x808f80c83524987b:0x2c9d55af82e2cbc1', '0x808f875533bd157f:0x5520917136bbfc4c', '0x808f80b3e6c7a2ab:0x355cf3562cda3261', '0x808f80b183b3d067:0x35c42acf7c47225f', '0x808f80b73bf1c5ad:0xa176eb3ae167b33f']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f80b183b3d067:0xe57616ad09050b61?authuser=-1&hl=en&gl=us,California
